Year,Month,temp_2,temp_1,temp_3,actual
2008,1,0.58,0.49,0.58,0.3
2008,2,0.49,0.3,0.58,0.37
2008,3,0.3,0.37,0.49,0.74
2008,4,0.37,0.74,0.3,0.53
2008,5,0.74,0.53,0.37,0.49
2008,6,0.53,0.49,0.74,0.49
2008,7,0.49,0.49,0.53,0.59
2008,8,0.49,0.59,0.49,0.46
2008,9,0.59,0.46,0.49,0.6
2008,10,0.46,0.6,0.59,0.66
2008,11,0.6,0.66,0.46,0.68
2008,12,0.66,0.68,0.6,0.53
2009,1,0.68,0.53,0.66,0.64
2009,2,0.53,0.64,0.68,0.52
2009,3,0.64,0.52,0.53,0.53
2009,4,0.52,0.53,0.64,0.6
2009,5,0.53,0.6,0.52,0.64
2009,6,0.6,0.64,0.53,0.64
2009,7,0.64,0.64,0.6,0.73
2009,8,0.64,0.73,0.64,0.67
2009,9,0.73,0.67,0.64,0.72
2009,10,0.67,0.72,0.73,0.64
2009,11,0.72,0.64,0.67,0.79
2009,12,0.64,0.79,0.72,0.67
2010,1,0.79,0.67,0.64,0.74
2010,2,0.67,0.74,0.79,0.83
2010,3,0.74,0.83,0.67,0.92
2010,4,0.83,0.92,0.74,0.84
2010,5,0.92,0.84,0.83,0.75
2010,6,0.84,0.75,0.92,0.67
2010,7,0.75,0.67,0.84,0.62
2010,8,0.67,0.62,0.75,0.66
2010,9,0.62,0.66,0.67,0.63
2010,10,0.66,0.63,0.62,0.7
2010,11,0.63,0.7,0.66,0.81
2010,12,0.7,0.81,0.63,0.44
2011,1,0.81,0.44,0.7,0.51
2011,2,0.44,0.51,0.81,0.47
2011,3,0.51,0.47,0.44,0.65
2011,4,0.47,0.65,0.51,0.64
2011,5,0.65,0.64,0.47,0.53
2011,6,0.64,0.53,0.65,0.62
2011,7,0.53,0.62,0.64,0.69
2011,8,0.62,0.69,0.53,0.74
2011,9,0.69,0.74,0.62,0.56
2011,10,0.74,0.56,0.69,0.65
2011,11,0.56,0.65,0.74,0.58
2011,12,0.65,0.58,0.56,0.6
2012,1,0.58,0.6,0.65,0.48
2012,2,0.6,0.48,0.58,0.49
2012,3,0.48,0.49,0.6,0.57
2012,4,0.49,0.57,0.48,0.72
2012,5,0.57,0.72,0.49,0.78
2012,6,0.72,0.78,0.57,0.64
2012,7,0.78,0.64,0.72,0.58
2012,8,0.64,0.58,0.78,0.64
2012,9,0.58,0.64,0.64,0.71
2012,10,0.64,0.71,0.58,0.79
2012,11,0.71,0.79,0.64,0.78
2012,12,0.79,0.78,0.71,0.53
2013,1,0.78,0.53,0.79,0.7
2013,2,0.53,0.7,0.78,0.62
2013,3,0.7,0.62,0.53,0.67
2013,4,0.62,0.67,0.7,0.53
2013,5,0.67,0.53,0.62,0.6
2013,6,0.53,0.6,0.67,0.68
2013,7,0.6,0.68,0.53,0.6
2013,8,0.68,0.6,0.6,0.69
2013,9,0.6,0.69,0.68,0.77
2013,10,0.69,0.77,0.6,0.69
2013,11,0.77,0.69,0.69,0.83
2013,12,0.69,0.83,0.77,0.69
2014,1,0.83,0.69,0.69,0.75
2014,2,0.69,0.75,0.83,0.54
2014,3,0.75,0.54,0.69,0.78
2014,4,0.54,0.78,0.75,0.79
2014,5,0.78,0.79,0.54,0.85
2014,6,0.79,0.85,0.78,0.67
2014,7,0.85,0.67,0.79,0.58
2014,8,0.67,0.58,0.85,0.82
2014,9,0.58,0.82,0.67,0.87
2014,10,0.82,0.87,0.58,0.8
2014,11,0.87,0.8,0.82,0.66
2014,12,0.8,0.66,0.87,0.78
2015,1,0.66,0.78,0.8,0.85
2015,2,0.78,0.85,0.66,0.9
2015,3,0.85,0.9,0.78,0.95
2015,4,0.9,0.95,0.85,0.75
2015,5,0.95,0.75,0.9,0.8
2015,6,0.75,0.8,0.95,0.81
2015,7,0.8,0.81,0.75,0.73
2015,8,0.81,0.73,0.8,0.8
2015,9,0.73,0.8,0.81,0.84
2015,10,0.8,0.84,0.73,1.09
2015,11,0.84,1.09,0.8,1.06
